Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track/Year
4,1,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,312,running,95,33,1,Pheonix Race #36 2023
5,9,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,312,running,18,47,1,Pheonix Race #36 2023
6,2,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,312,running,1,41,0,Pheonix Race #36 2023
7,3,4,   Kevin Harvick,Busch Light Harvick   (Stewart Haas Racing),Ford,312,running,23,47,0,Pheonix Race #36 2023
8,6,11,   Denny Hamlin,FedEx   (Joe Gibbs),Toyota,312,running,14,29,0,Pheonix Race #36 2023
9,19,34,   Michael McDowell,Love's / Delo   (Bob Jenkins),Ford,312,running,0,28,0,Pheonix Race #36 2023
10,5,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,312,running,0,37,0,Pheonix Race #36 2023
11,16,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,312,running,0,26,0,Pheonix Race #36 2023
12,21,3,   Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,312,running,0,25,0,Pheonix Race #36 2023
13,28,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,312,running,0,24,0,Pheonix Race #36 2023
14,12,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,312,running,0,23,0,Pheonix Race #36 2023
15,31,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,312,running,0,24,0,Pheonix Race #36 2023
16,20,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,312,running,0,21,0,Pheonix Race #36 2023
17,23,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,312,running,0,20,0,Pheonix Race #36 2023
18,17,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,312,running,0,19,0,Pheonix Race #36 2023
19,22,42,   Carson Hocevar,Sunseeker Resorts   (Legacy Motor Club),Chevrolet,312,running,0,0,0,Pheonix Race #36 2023
20,7,43,   Erik Jones,Allegiant Allways Rewards   (Legacy Motor Club),Chevrolet,312,running,0,21,0,Pheonix Race #36 2023
21,11,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,312,running,0,16,0,Pheonix Race #36 2023
22,10,45,   Tyler Reddick,TOYOTA   (23XI Racing),Toyota,312,running,0,15,0,Pheonix Race #36 2023
23,24,47,   Ricky Stenhouse Jr,Fry's/Cheez-It   (JTG-Daugherty Racing),Chevrolet,312,running,0,14,0,Pheonix Race #36 2023
24,26,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,312,running,2,13,0,Pheonix Race #36 2023
25,18,8,   Kyle Busch,3CHI   (Richard Childress),Chevrolet,311,running,0,12,0,Pheonix Race #36 2023
26,25,21,   Harrison Burton,Motorcraft/Quick Lane   (Wood Brothers),Ford,311,running,0,11,0,Pheonix Race #36 2023
27,34,15,   J.J. Yeley,Total PointPatriot Mobile   (Rick Ware),Ford,311,running,0,0,0,Pheonix Race #36 2023
28,33,77,   Ty Dillon,Gainbridge   (Spire Motorsports),Chevrolet,310,running,0,9,0,Pheonix Race #36 2023
29,35,31,   Justin Haley,Campers Inn RV   (Matthew Kaulig),Chevrolet,310,running,0,8,0,Pheonix Race #36 2023
30,14,38,   Todd Gilliland,Boot Barn   (Bob Jenkins),Ford,309,running,0,7,0,Pheonix Race #36 2023
31,29,7,   Corey LaJoie,NEGU   (Spire Motorsports),Chevrolet,308,running,0,6,0,Pheonix Race #36 2023
32,32,16,   A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,308,running,0,5,0,Pheonix Race #36 2023
33,36,78,   B.J. McLeod,Pala Casino   (B.J. McLeod),Chevrolet,306,running,0,0,0,Pheonix Race #36 2023
34,30,51,   Ryan Newman,Serial 1 E-Bikes   (Rick Ware),Ford,305,running,0,0,0,Pheonix Race #36 2023
35,27,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,301,running,0,2,0,Pheonix Race #36 2023
36,13,20,   Christopher Bell,Rheem - DEWALT   (Joe Gibbs),Toyota,108,crash,0,1,0,Pheonix Race #36 2023
1,18,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,200,running,4,54,5,Daytona #1 2024
2,7,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,200,running,0,50,0,Daytona #1 2024
3,4,20,   Christopher Bell,DEWALT - Interstate Batteries   (Joe Gibbs),Toyota,200,running,22,44,0,Daytona #1 2024
4,29,7,   Corey LaJoie,Chili's Catch-a-Rita   (Spire Motorsports),Chevrolet,200,running,1,33,0,Daytona #1 2024
5,24,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,200,running,3,39,0,Daytona #1 2024
6,28,16,   A.J. Allmendinger,Celsius   (Matthew Kaulig),Chevrolet,200,running,9,0,0,Daytona #1 2024
7,10,42,   John H. Nemechek,Dollar Tree   (Legacy Motor Club),Toyota,200,running,0,37,0,Daytona #1 2024
8,11,43,   Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,200,running,0,35,0,Daytona #1 2024
9,38,10,   Noah Gragson,Black Rifle Coffee / Ranger Boats   (Stewart Haas Racing),Ford,200,running,5,28,0,Daytona #1 2024
10,20,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,200,running,0,29,0,Daytona #1 2024
11,17,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,200,running,7,37,0,Daytona #1 2024
12,34,8,   Kyle Busch,Zone   (Richard Childress),Chevrolet,200,running,12,37,0,Daytona #1 2024
13,14,71,   Zane Smith,WeatherTech   (Spire Motorsports),Chevrolet,200,running,0,29,0,Daytona #1 2024
14,5,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,200,running,13,42,1,Daytona #1 2024
15,27,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,200,running,0,24,0,Daytona #1 2024
16,37,31,   Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,200,running,0,21,0,Daytona #1 2024
17,15,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,200,running,0,23,0,Daytona #1 2024
18,19,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,200,running,0,21,0,Daytona #1 2024
19,8,11,   Denny Hamlin,FedEx   (Joe Gibbs),Toyota,200,running,10,30,0,Daytona #1 2024
20,40,60,   David Ragan,BuildSubmarines.com   (Jack Roush),Ford,200,running,2,17,0,Daytona #1 2024
21,21,1,   Ross Chastain,Busch Light   (Trackhouse Racing),Chevrolet,199,running,14,24,0,Daytona #1 2024
22,6,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,199,running,13,33,0,Daytona #1 2024
23,25,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,199,running,0,14,0,Daytona #1 2024
24,36,15,   Riley Herbst,Monster Energy   (Rick Ware),Ford,199,running,0,0,0,Daytona #1 2024
25,30,4,   Josh Berry,SunnyD   (Stewart Haas Racing),Ford,199,running,1,12,0,Daytona #1 2024
26,22,51,   Justin Haley,TreeTop Apple Juice/Jacob   (Rick Ware),Ford,199,running,0,12,0,Daytona #1 2024
27,39,62,   Anthony Alfredo,Death Wish Coffee   (Beard Motorsports),Chevrolet,198,running,0,0,0,Daytona #1 2024
28,23,84,   Jimmie Johnson,Carvana   (Legacy Motor Club),Toyota,196,running,0,9,0,Daytona #1 2024
29,3,45,   Tyler Reddick,Nasty Beast   (23XI Racing),Toyota,192,crash,0,24,0,Daytona #1 2024
30,32,12,   Ryan Blaney,MenardsPEAK   (Roger Penske),Ford,192,crash,12,17,1,Daytona #1 2024
31,35,47,   Ricky Stenhouse Jr,Boost by KrogerCottonelle   (JTG-Daugherty Racing),Chevrolet,192,crash,0,9,0,Daytona #1 2024
32,1,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,191,crash,45,9,0,Daytona #1 2024
33,16,6,   Brad Keselowski,Castrol Edge   (Jack Roush),Ford,191,crash,3,8,0,Daytona #1 2024
34,13,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,191,crash,2,17,0,Daytona #1 2024
35,31,38,   Todd Gilliland,gener8tor   (Bob Jenkins),Ford,191,crash,16,2,0,Daytona #1 2024
36,2,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,176,running,6,1,0,Daytona #1 2024
37,33,3,   Austin Dillon,Bass Pro Shops   (Richard Childress),Chevrolet,146,running,0,1,0,Daytona #1 2024
38,26,36,   Kaz Grala,Ruedebusch   (Bob Jenkins),Ford,5,crash,0,1,0,Daytona #1 2024
39,12,21,   Harrison Burton,Motorcraft Dex Imaging   (Wood Brothers),Ford,5,crash,0,7,0,Daytona #1 2024
40,9,77,   Carson Hocevar,Gainbridge/Zeigler Auto Group   (Spire Motorsports),Chevrolet,5,crash,0,8,0,Daytona #1 2024
1,23,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,260,running,9,47,5,Atlanta #2 2024
2,6,12,   Ryan Blaney,BodyArmor Zero Sugar   (Roger Penske),Ford,260,running,31,52,0,Atlanta #2 2024
3,3,8,   Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,260,running,28,40,0,Atlanta #2 2024
4,8,2,   Austin Cindric,MenardsKnauf Insulation   (Roger Penske),Ford,260,running,32,43,1,Atlanta #2 2024
5,18,23,   Bubba Wallace,MoneyLion   (23XI Racing),Toyota,260,running,3,35,0,Atlanta #2 2024
6,27,47,   Ricky Stenhouse Jr,Kroger/Blue Buffalo   (JTG-Daugherty Racing),Chevrolet,260,running,1,35,0,Atlanta #2 2024
7,21,1,   Ross Chastain,Moose Fraternity   (Trackhouse Racing),Chevrolet,260,running,0,38,0,Atlanta #2 2024
8,1,34,   Michael McDowell,Benebone   (Bob Jenkins),Ford,260,running,27,39,1,Atlanta #2 2024
9,7,17,   Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,260,running,1,28,0,Atlanta #2 2024
10,25,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,260,running,0,27,0,Atlanta #2 2024
11,16,21,   Harrison Burton,Motorcraft Quick Lane   (Wood Brothers),Ford,260,running,0,29,0,Atlanta #2 2024
12,12,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,260,running,9,36,0,Atlanta #2 2024
13,32,7,   Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,260,running,0,24,0,Atlanta #2 2024
14,33,15,   Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,260,running,0,23,0,Atlanta #2 2024
15,28,9,   Chase Elliott,Hooters   (Rick Hendrick),Chevrolet,260,running,0,23,0,Atlanta #2 2024
16,20,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,260,running,0,-14,0,Atlanta #2 2024
17,11,24,   William Byron,Raptor High Heat   (Rick Hendrick),Chevrolet,260,running,0,22,0,Atlanta #2 2024
18,26,31,   Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,260,running,0,19,0,Atlanta #2 2024
19,35,77,   Carson Hocevar,Premier Security   (Spire Motorsports),Chevrolet,260,running,0,18,0,Atlanta #2 2024
20,31,51,   Justin Haley,Grady Medical Centers   (Rick Ware),Ford,260,running,0,17,0,Atlanta #2 2024
21,34,42,   John H. Nemechek,Family Dollar   (Legacy Motor Club),Toyota,260,running,0,16,0,Atlanta #2 2024
22,10,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,260,running,0,15,0,Atlanta #2 2024
23,13,11,   Denny Hamlin,FedEx   (Joe Gibbs),Toyota,259,running,15,14,0,Atlanta #2 2024
24,36,78,   B.J. McLeod,Live Fast Motorsports   (B.J. McLeod),Chevrolet,257,running,0,0,0,Atlanta #2 2024
25,37,43,   Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,256,running,0,12,0,Atlanta #2 2024
26,4,38,   Todd Gilliland,Georgia Peanuts   (Bob Jenkins),Ford,256,running,58,17,0,Atlanta #2 2024
27,17,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,255,running,0,10,0,Atlanta #2 2024
28,2,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,252,running,27,9,0,Atlanta #2 2024
29,14,4,   Josh Berry,Harrison's   (Stewart Haas Racing),Ford,250,crash,0,8,0,Atlanta #2 2024
30,19,45,   Tyler Reddick,Xfinity Mobile   (23XI Racing),Toyota,243,running,0,7,0,Atlanta #2 2024
31,9,14,   Chase Briscoe,HighPoint.com   (Stewart Haas Racing),Ford,239,crash,0,8,0,Atlanta #2 2024
32,5,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,222,crash,17,21,0,Atlanta #2 2024
33,24,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,218,crash,2,8,0,Atlanta #2 2024
34,22,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,148,crash,0,3,0,Atlanta #2 2024
35,29,71,   Zane Smith,City of Refuge   (Spire Motorsports),Chevrolet,75,dvp,0,0,0,Atlanta #2 2024
36,15,10,   Noah Gragson,Black Rifle Coffee / Ranger Boats   (Stewart Haas Racing),Ford,66,crash,0,-34,0,Atlanta #2 2024
37,30,16,   Josh Williams,Alloy Employer Services   (Matthew Kaulig),Chevrolet,2,crash,0,0,0,Atlanta #2 2024
1,2,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,267,running,181,60,7,Las Vegas #3 2024
2,18,45,   Tyler Reddick,Nasty Beast   (23XI Racing),Toyota,267,running,1,53,0,Las Vegas #3 2024
3,15,12,   Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,267,running,0,41,0,Las Vegas #3 2024
4,20,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,267,running,2,36,0,Las Vegas #3 2024
5,8,54,   Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,267,running,0,37,0,Las Vegas #3 2024
6,30,10,   Noah Gragson,Fanttik   (Stewart Haas Racing),Ford,267,running,0,31,0,Las Vegas #3 2024
7,7,19,   Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,267,running,4,44,0,Las Vegas #3 2024
8,28,11,   Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,267,running,16,43,0,Las Vegas #3 2024
9,1,22,   Joey Logano,Pennzoil   (Roger Penske),Ford,267,running,2,30,0,Las Vegas #3 2024
10,4,24,   William Byron,Z HP   (Rick Hendrick),Chevrolet,267,running,15,27,0,Las Vegas #3 2024
11,16,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,267,running,15,26,0,Las Vegas #3 2024
12,11,9,   Chase Elliott,Llumar   (Rick Hendrick),Chevrolet,267,running,0,30,0,Las Vegas #3 2024
13,25,6,   Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,267,running,0,24,0,Las Vegas #3 2024
14,22,43,   Erik Jones,Dollar Tree   (Legacy Motor Club),Toyota,267,running,0,24,0,Las Vegas #3 2024
15,14,77,   Carson Hocevar,Premier Security   (Spire Motorsports),Chevrolet,267,running,0,22,0,Las Vegas #3 2024
16,19,3,   Austin Dillon,BetMGM   (Richard Childress),Chevrolet,267,running,0,25,0,Las Vegas #3 2024
17,13,47,   Ricky Stenhouse Jr,Smith's/Tree Top   (JTG-Daugherty Racing),Chevrolet,267,running,0,20,0,Las Vegas #3 2024
18,23,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,267,running,3,22,0,Las Vegas #3 2024
19,34,31,   Daniel Hemric,South Point Hotel and Casino   (Matthew Kaulig),Chevrolet,267,running,1,18,0,Las Vegas #3 2024
20,26,4,   Josh Berry,Mobil 1 Take 5   (Stewart Haas Racing),Ford,267,running,0,17,0,Las Vegas #3 2024
21,6,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,267,running,1,16,0,Las Vegas #3 2024
22,27,42,   John H. Nemechek,Albertson's   (Legacy Motor Club),Toyota,267,running,0,15,0,Las Vegas #3 2024
23,36,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,267,running,0,14,0,Las Vegas #3 2024
24,31,38,   Todd Gilliland,gener8tor   (Bob Jenkins),Ford,267,running,0,13,0,Las Vegas #3 2024
25,12,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,267,running,4,12,0,Las Vegas #3 2024
26,21,8,   Kyle Busch,BetMGM   (Richard Childress),Chevrolet,267,running,18,18,0,Las Vegas #3 2024
27,35,51,   Justin Haley,Ohanafy   (Rick Ware),Ford,267,running,0,10,0,Las Vegas #3 2024
28,33,16,   Derek Kraus,Western States Flooring   (Matthew Kaulig),Chevrolet,267,running,2,9,0,Las Vegas #3 2024
29,3,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,267,running,0,10,0,Las Vegas #3 2024
30,29,21,   Harrison Burton,Motorcraft Quick Lane   (Wood Brothers),Ford,267,running,0,7,0,Las Vegas #3 2024
31,32,15,   Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,267,running,0,6,0,Las Vegas #3 2024
32,17,7,   Corey LaJoie,USANA   (Spire Motorsports),Chevrolet,266,running,0,9,0,Las Vegas #3 2024
33,10,20,   Christopher Bell,Interstate Batteries   (Joe Gibbs),Toyota,265,running,0,5,0,Las Vegas #3 2024
34,37,44,   J.J. Yeley,Urban Youth Racing School   (Johnathan Cohen),Chevrolet,261,running,0,0,0,Las Vegas #3 2024
35,5,23,   Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,254,running,0,2,0,Las Vegas #3 2024
36,24,71,   Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,254,running,0,1,0,Las Vegas #3 2024
37,9,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,27,crash,2,1,0,Las Vegas #3 2024
1,13,20,   Christopher Bell,Rheem   (Joe Gibbs),Toyota,312,running,50,50,6,Pheonix #4 2024
2,14,17,   Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,312,running,0,36,0,Pheonix #4 2024
3,2,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,312,running,57,43,0,Pheonix #4 2024
4,18,6,   Brad Keselowski,Consumer Cellular   (Jack Roush),Ford,312,running,0,35,0,Pheonix #4 2024
5,16,12,   Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,312,running,0,41,0,Pheonix #4 2024
6,12,1,   Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,312,running,0,31,0,Pheonix #4 2024
7,11,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,312,running,55,37,0,Pheonix #4 2024
8,9,34,   Michael McDowell,Horizon Hobby   (Bob Jenkins),Ford,312,running,0,32,0,Pheonix #4 2024
9,8,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,312,running,0,30,0,Pheonix #4 2024
10,6,45,   Tyler Reddick,Mobil 1   (23XI Racing),Toyota,312,running,68,46,1,Pheonix #4 2024
11,1,11,   Denny Hamlin,Mavis Brakes Plus   (Joe Gibbs),Toyota,312,running,68,42,0,Pheonix #4 2024
12,7,10,   Noah Gragson,SERVPRO   (Stewart Haas Racing),Ford,312,running,0,28,0,Pheonix #4 2024
13,15,99,   Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,312,running,0,24,0,Pheonix #4 2024
14,17,5,   Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,312,running,0,23,0,Pheonix #4 2024
15,10,77,   Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,312,running,0,22,0,Pheonix #4 2024
16,22,23,   Bubba Wallace,U.S. Air Force   (23XI Racing),Toyota,312,running,0,21,0,Pheonix #4 2024
17,29,38,   Todd Gilliland,gener8tor   (Bob Jenkins),Ford,312,running,14,20,0,Pheonix #4 2024
18,5,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,312,running,0,31,0,Pheonix #4 2024
19,3,9,   Chase Elliott,Kelley Blue Book   (Rick Hendrick),Chevrolet,312,running,0,28,0,Pheonix #4 2024
20,25,48,   Alex Bowman,Ally Best Friends   (Rick Hendrick),Chevrolet,312,running,0,17,0,Pheonix #4 2024
21,20,47,   Ricky Stenhouse Jr,Fry's/Coca-Cola Spiced   (JTG-Daugherty Racing),Chevrolet,312,running,0,16,0,Pheonix #4 2024
22,31,8,   Kyle Busch,Zone   (Richard Childress),Chevrolet,311,running,0,15,0,Pheonix #4 2024
23,27,41,   Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,311,running,0,14,0,Pheonix #4 2024
24,33,51,   Justin Haley,Fraternal Order of Eagles   (Rick Ware),Ford,311,running,0,13,0,Pheonix #4 2024
25,19,42,   John H. Nemechek,Albertson's   (Legacy Motor Club),Toyota,311,running,0,12,0,Pheonix #4 2024
26,36,4,   Josh Berry,SunnyD   (Stewart Haas Racing),Ford,310,running,0,11,0,Pheonix #4 2024
27,24,21,   Harrison Burton,DRAIVER   (Wood Brothers),Ford,310,running,0,10,0,Pheonix #4 2024
28,21,31,   Daniel Hemric,Poppy Bank   (Matthew Kaulig),Chevrolet,310,running,0,9,0,Pheonix #4 2024
29,28,71,   Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,309,running,0,8,0,Pheonix #4 2024
30,32,15,   Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,309,running,0,7,0,Pheonix #4 2024
31,4,43,   Erik Jones,Family Dollar   (Legacy Motor Club),Toyota,305,running,0,13,0,Pheonix #4 2024
32,30,3,   Austin Dillon,Morgan & Morgan   (Richard Childress),Chevrolet,304,running,0,5,0,Pheonix #4 2024
33,35,7,   Corey LaJoie,Group1001   (Spire Motorsports),Chevrolet,204,crash,0,4,0,Pheonix #4 2024
34,23,22,   Joey Logano,Hunt Brothers Pizza   (Roger Penske),Ford,203,crash,0,3,0,Pheonix #4 2024
35,26,16,   Derek Kraus,Western States Flooring   (Matthew Kaulig),Chevrolet,203,crash,0,2,0,Pheonix #4 2024
36,34,2,   Austin Cindric,Menards Duracell   (Roger Penske),Ford,6,crash,0,1,0,Pheonix #4 2024
1,3,11,   Denny Hamlin,Express Oil Change   (Joe Gibbs),Toyota,500,running,163,44,5,Bristol #5 2024
2,11,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,500,running,54,44,0,Bristol #5 2024
3,17,6,   Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,500,running,1,50,0,Bristol #5 2024
4,29,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,500,running,3,33,0,Bristol #5 2024
5,10,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,500,running,19,44,0,Bristol #5 2024
6,26,42,   John H. Nemechek,Dollar Tree   (Legacy Motor Club),Toyota,499,running,0,44,0,Bristol #5 2024
7,34,17,   Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,499,running,17,38,0,Bristol #5 2024
8,5,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,499,running,5,29,0,Bristol #5 2024
9,19,54,   Ty Gibbs,SiriusXM   (Joe Gibbs),Toyota,499,running,137,48,2,Bristol #5 2024
10,12,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,499,running,29,36,0,Bristol #5 2024
11,7,34,   Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,499,running,0,26,0,Bristol #5 2024
12,2,4,   Josh Berry,SunnyD   (Stewart Haas Racing),Ford,499,running,25,26,0,Bristol #5 2024
13,6,14,   Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,498,running,0,24,0,Bristol #5 2024
14,25,41,   Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,498,running,0,26,0,Bristol #5 2024
15,36,1,   Ross Chastain,Busch Light Fishing   (Trackhouse Racing),Chevrolet,498,running,0,22,0,Bristol #5 2024
16,1,12,   Ryan Blaney,Menards Dutch Boy   (Roger Penske),Ford,498,running,14,26,0,Bristol #5 2024
17,32,51,   Justin Haley,Ohanafy   (Rick Ware),Ford,498,running,0,20,0,Bristol #5 2024
18,28,99,   Daniel Suarez,Jockey Outdoors by Luke Bryan / Bassmaster Cl   (Trackhouse Racing),Chevrolet,498,running,0,19,0,Bristol #5 2024
19,33,15,   Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,498,running,0,18,0,Bristol #5 2024
20,15,43,   Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,498,running,0,17,0,Bristol #5 2024
21,18,7,   Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,498,running,4,16,0,Bristol #5 2024
22,4,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,498,running,5,23,0,Bristol #5 2024
23,30,16,   A.J. Allmendinger,Mountain Dew / Cheetos   (Matthew Kaulig),Chevrolet,498,running,0,0,0,Bristol #5 2024
24,31,3,   Austin Dillon,BREZTRI   (Richard Childress),Chevrolet,498,running,0,13,0,Bristol #5 2024
25,14,8,   Kyle Busch,FICO   (Richard Childress),Chevrolet,498,running,5,12,0,Bristol #5 2024
26,24,38,   Todd Gilliland,Citgard   (Bob Jenkins),Ford,497,running,0,11,0,Bristol #5 2024
27,35,77,   Carson Hocevar,Gainbridge Cal Ripken Sr. Fdn.   (Spire Motorsports),Chevrolet,497,running,0,10,0,Bristol #5 2024
28,20,31,   Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,496,running,0,9,0,Bristol #5 2024
29,9,23,   Bubba Wallace,Leidos   (23XI Racing),Toyota,496,running,15,10,0,Bristol #5 2024
30,23,45,   Tyler Reddick,Monster Energy   (23XI Racing),Toyota,495,running,4,7,0,Bristol #5 2024
31,21,2,   Austin Cindric,Discount Tire   (Roger Penske),Ford,495,running,0,6,0,Bristol #5 2024
32,13,21,   Harrison Burton,DEX Imaging   (Wood Brothers),Ford,495,running,0,5,0,Bristol #5 2024
33,27,47,   Ricky Stenhouse Jr,Ball Park Buns & Rolls   (JTG-Daugherty Racing),Chevrolet,495,running,0,4,0,Bristol #5 2024
34,22,10,   Noah Gragson,Bass Pro Shops/Tracker Boats & ATVs/Ranger Bo   (Stewart Haas Racing),Ford,494,running,0,3,0,Bristol #5 2024
35,8,24,   William Byron,Liberty University   (Rick Hendrick),Chevrolet,492,running,0,2,0,Bristol #5 2024
36,16,71,   Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,192,engine,0,1,0,Bristol #5 2024
1,1,24,   William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,68,running,42,47,5,COTA #6 2024
2,4,20,   Christopher Bell,DEWALT   (Joe Gibbs),Toyota,68,running,9,45,1,COTA #6 2024
3,2,54,   Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,68,running,1,37,0,COTA #6 2024
4,17,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,68,running,0,33,0,COTA #6 2024
5,3,45,   Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,68,running,1,34,0,COTA #6 2024
6,14,13,   A.J. Allmendinger,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,68,running,0,0,0,COTA #6 2024
7,6,1,   Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,68,running,10,31,0,COTA #6 2024
8,20,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,68,running,0,29,0,COTA #6 2024
9,16,8,   Kyle Busch,Mark III Employee Benefits   (Richard Childress),Chevrolet,68,running,0,28,0,COTA #6 2024
10,7,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,68,running,2,35,0,COTA #6 2024
